,name,IPC,L2C,L1D,LLC
0,600.perlbench_s-1273B.champsimtrace.xz,2.71266,0.363330933525318,0.9996959839512856,0.00037678975131876413
1,602.gcc_s-1850B.champsimtrace.xz,0.423058,0.21978968200363155,0.8099425497740003,0.05461729883983625
2,603.bwaves_s-2931B.champsimtrace.xz,0.665107,0.3239847958229829,0.8567113867472361,0.3600747329666918
3,605.mcf_s-1536B.champsimtrace.xz,0.340302,0.2423900211856259,0.5859533817920785,0.4977969246677022
4,607.cactuBSSN_s-2421B.champsimtrace.xz,2.05134,0.8493969978025645,0.5821276178048703,0.7872281745700102
5,619.lbm_s-2676B.champsimtrace.xz,0.246802,0.14068497173962324,0.06527871306584421,0.6533913648466573
6,620.omnetpp_s-141B.champsimtrace.xz,0.457301,0.2810519464206187,0.9054500777972078,0.4302038354592987
7,621.wrf_s-575B.champsimtrace.xz,1.82424,0.4199438202247191,0.9996669707921012,0.0
8,623.xalancbmk_s-165B.champsimtrace.xz,1.39361,0.12519690086704685,0.740678095812427,0.8217624981234048
9,625.x264_s-12B.champsimtrace.xz,2.79202,0.3367693499374367,0.9956791146956898,0.21438118150227212
10,627.cam4_s-490B.champsimtrace.xz,1.72147,0.37452570788123496,0.5491942959259454,0.7635992337441717
11,628.pop2_s-17B.champsimtrace.xz,2.19295,0.6038548415576156,0.7506690121592722,0.7482424903419096
12,631.deepsjeng_s-928B.champsimtrace.xz,1.31468,0.7097506611886425,0.9910547641456762,0.34544972780266897
13,638.imagick_s-10316B.champsimtrace.xz,3.83261,0.9955331803262506,0.7391246405527017,0.01858362631843295
14,641.leela_s-149B.champsimtrace.xz,1.26768,0.6381674876192817,0.9341832187757586,0.8135050372057931
15,644.nab_s-12459B.champsimtrace.xz,1.67505,0.8888720422554823,0.963704167560823,0.781222635079166
16,648.exchange2_s-387B.champsimtrace.xz,1.27632,0.9511973325250076,0.9999413768165317,0.0
17,649.fotonik3d_s-1176B.champsimtrace.xz,1.18353,0.39436337053551157,0.7796018061149015,0.5720880781992158
18,654.roms_s-293B.champsimtrace.xz,1.51717,0.24919881018708243,0.7702212132550327,0.5468615147614269
19,657.xz_s-4994B.champsimtrace.xz,1.7478,0.6256446319737459,0.987411799785406,0.15199925261584454
20,geomean,1.235837393658053,0.4119078765511207,0.7261565440825949,0.28848601779853333
